         369190 function calls (367381 primitive calls) in 1.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1920    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/_lxml.py:401(_prefix_for_namespace)
    65/13    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:37(_compile)
     1968    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       57    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:723(_get_field)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      171    0.000    0.000    0.070    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpx/_models.py:935(iter_raw)
      841    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      171    0.000    0.000    0.075    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpx/_models.py:884(iter_bytes)
        3    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:1657(convert_class)
      135    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:664(_is_type)
      368    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     1814    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      937    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:212(their_state)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      208    0.000    0.000    0.725    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1256(recv)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      201    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_receivebuffer.py:67(_extract)
      507    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     87/3    0.000    0.000    0.089    0.030 <frozen importlib._bootstrap_external>:934(exec_module)
       87    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      208    0.000    0.000    0.725    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1125(read)
      175    0.000    0.000    0.001    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_state.py:275(process_event)
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       34    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1796(__class_getitem__)
      171    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_events.py:299(__init__)
      462    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:2160(get)
      603    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1358(__eq__)
      393    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      478    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:231(__next)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       40    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:653(Union)
      776    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      215    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      737    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      208    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:352(receive_data)
       91    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       27    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:241(_optimize_charset)
     1184    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpcore/_exceptions.py:7(map_exceptions)
     16/8    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2428(_signature_from_callable)
        1    0.000    0.000    0.043    0.043 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/anyio/__init__.py:1(<module>)
      176    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_connection.py:330(_respond_to_state_changes)
      126    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1251(__init__)
       48    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      360    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:162(__getitem__)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      375    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/filter.py:321(matches_tag)
      416    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_receivebuffer.py:60(__len__)
     1328    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:2219(__bool__)
    83/31    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:172(getwidth)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       34    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:35(update_wrapper)
      208    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_receivebuffer.py:53(__iadd__)
    34/13    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:447(_parse_sub)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       28    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1843(__init_subclass__)
    199/7    0.000    0.000    0.088    0.013 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  276/162    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1364(__hash__)
       18    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:528(_init_fn)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.020    0.020 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/anyio/abc/__init__.py:1(<module>)
       22    0.000    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
      101    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      109    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1280(__getattr__)
      170    0.000    0.000    0.004    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/httpx/_decoders.py:95(decode)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      106    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:827(_set_new_attribute)
       34    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1556(__getitem__)
      121    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2402(get_origin)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2333(_signature_from_function)
      176    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
       40    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:311(_remove_dups_flatten)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      269    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:252(get)
      603    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       27    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1012(__init__)
      208    0.000    0.000    0.000    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/h11/_receivebuffer.py:57(__bool__)
      223    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:159(_type_convert)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:392(cached)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
